Column Name,Primary Key,Type,Size,Nullable
IDINTERSTOREH,NO,CHAR,0,YES
IDARTICLES,YES,CHAR,0,NO
ARTICLESCODE,NO,CHAR,30,YES
ARTICLESDESC,NO,CHAR,100,YES
HEURECREATION,NO,CHAR,0,YES
USERCREATION,NO,CHAR,0,YES
ARTICLESTAXABLE,NO,CHAR,0,YES
DATECREATION,NO,CHAR,0,YES
HEUREMODIF,NO,CHAR,0,YES
USERMODIF,NO,CHAR,0,YES
DATEMODIF,NO,CHAR,0,YES
ARTICLESSTOCKABLE,NO,CHAR,0,YES
ARTICLESVENDABLE,NO,CHAR,0,YES
ARTICLESQTEENSTOCK,NO,CHAR,0,YES
ABC_QTY,NO,CHAR,2,YES
ARTICLESTOTALCOST,NO,CHAR,0,YES
ARTICLESLKUC,NO,CHAR,0,YES
ARTICLESQTEENCOMMANDE,NO,CHAR,0,YES
ARTICLESINACTIF,NO,CHAR,0,YES
ARTICLECONSIGNE,NO,CHAR,0,YES
IDVATRATES,NO,CHAR,0,YES
IDARTICLEDIM1,NO,CHAR,0,YES
IDARTICLEDIM2,NO,CHAR,0,YES
IDARTICLEDIM3,NO,CHAR,0,YES
IDARTICLEDIM4,NO,CHAR,0,YES
IDARTICLEDIM5,NO,CHAR,0,YES
IDARTICLEDIM6,NO,CHAR,0,YES
IDARTICLEDIM7,NO,CHAR,0,YES
IDARTICLEDIM8,NO,CHAR,0,YES
IDARTICLEDIM9,NO,CHAR,0,YES
ARTICLESUOM,NO,CHAR,5,YES
NOPURCHASE,NO,CHAR,0,YES
PRIXMODIFIABLE,NO,CHAR,0,YES
IDFOURNISSEURS,NO,CHAR,0,YES
LASTPURCHASEDATE,NO,CHAR,0,YES
SUPPLIERCODE,NO,CHAR,30,YES
LASTPURCHASEPRICE,NO,CHAR,0,YES
ARTICLESQTEENPRODUCTION,NO,CHAR,0,YES
BARCODE,NO,CHAR,30,YES
LASTPURCHASEQTY,NO,CHAR,0,YES
