Column Name,Primary Key,Type,Size,Nullable
IDARTICLES,YES,CHAR,0,YES
IDARTICLESDIMUDF,NO,CHAR,0,YES
ARTICLESCODE,NO,CHAR,30,YES
ARTICLESDESC,NO,CHAR,100,YES
HEURECREATION,NO,CHAR,0,YES
USERCREATION,NO,CHAR,0,YES
ARTICLESTAXABLE,NO,CHAR,0,YES
DATECREATION,NO,CHAR,0,YES
HEUREMODIF,NO,CHAR,0,YES
USERMODIF,NO,CHAR,0,YES
DATEMODIF,NO,CHAR,0,YES
ARTICLESSTOCKABLE,NO,CHAR,0,YES
ARTICLESVENDABLE,NO,CHAR,0,YES
ARTICLESQTEENSTOCK,NO,CHAR,0,YES
ARTICLESTOTALCOST,NO,CHAR,0,YES
ARTICLESLKUC,NO,CHAR,0,YES
ARTICLESQTEENCOMMANDE,NO,CHAR,0,YES
ARTICLESINACTIF,NO,CHAR,0,YES
ARTICLECONSIGNE,NO,CHAR,0,YES
IDVATRATES,NO,CHAR,0,YES
IDARTICLEDIM1,NO,CHAR,0,YES
IDARTICLEDIM2,NO,CHAR,0,YES
IDARTICLEDIM3,NO,CHAR,0,YES
IDARTICLEDIM4,NO,CHAR,0,YES
IDARTICLEDIM5,NO,CHAR,0,YES
IDARTICLEDIM6,NO,CHAR,0,YES
IDARTICLEDIM7,NO,CHAR,0,YES
IDARTICLEDIM8,NO,CHAR,0,YES
IDARTICLEDIM9,NO,CHAR,0,YES
ARTICLESUOM,NO,CHAR,5,YES
NOPURCHASE,NO,CHAR,0,YES
PRIXMODIFIABLE,NO,CHAR,0,YES
IDFOURNISSEURS,NO,CHAR,0,YES
LASTPURCHASEDATE,NO,CHAR,0,YES
SUPPLIERCODE,NO,CHAR,30,YES
LASTPURCHASEPRICE,NO,CHAR,0,YES
ARTICLESQTEENPRODUCTION,NO,CHAR,0,YES
BARCODE,NO,CHAR,30,YES
LASTPURCHASEQTY,NO,CHAR,0,YES
HSCODE,NO,CHAR,20,YES
CUSTOMRATE,NO,CHAR,0,YES
MANUFACTURED,NO,CHAR,0,YES
COEFFVOLUMEPALCOONLY,NO,CHAR,0,YES
USEDFORNOTE,NO,CHAR,0,YES
PHOTOFILENAME,NO,CHAR,30,YES
OUTSIDEFIDELITY,NO,CHAR,0,YES
OLDCODE,NO,CHAR,30,YES
REMARK,NO,CHAR,100,YES
TICKETPRINTER,NO,CHAR,0,YES
PHOTOOK,NO,CHAR,0,YES
NBPRODUCTPERPACK,NO,CHAR,0,YES
LENGHT,NO,CHAR,0,YES
HEIGHT,NO,CHAR,0,YES
WIDTH,NO,CHAR,0,YES
ARTICLESQTYRESERVED,NO,CHAR,0,YES
OLDPRODUCTCODE,NO,CHAR,30,YES
KITCODE,NO,CHAR,50,YES
BARCODE3,NO,CHAR,30,YES
MINIMUMMARGIN,NO,CHAR,0,YES
MODIFIABLEDESCRIPTION,NO,CHAR,0,YES
SERIALNO,NO,CHAR,25,YES
BILLOFENTRYNO,NO,CHAR,20,YES
BILLOFENTRYDATE,NO,CHAR,0,YES
WEIGHT,NO,CHAR,0,YES
CIFCOST,NO,CHAR,0,YES
CIFCOSTFCY,NO,CHAR,0,YES
IDARTICLEDIM10,NO,CHAR,0,YES
IDARTICLEDIM11,NO,CHAR,0,YES
IDARTICLEDIM12,NO,CHAR,0,YES
IDARTICLEDIM13,NO,CHAR,0,YES
IDARTICLEDIM14,NO,CHAR,0,YES
IDARTICLEDIM15,NO,CHAR,0,YES
IDARTICLEDIM16,NO,CHAR,0,YES
IDARTICLEDIM17,NO,CHAR,0,YES
IDARTICLEDIM18,NO,CHAR,0,YES
IDARTICLEDIM19,NO,CHAR,0,YES
IDARTICLEDIM20,NO,CHAR,0,YES
ACCESSORIES,NO,CHAR,0,YES
SUPPLIERDESC,NO,CHAR,100,YES
DIM1CODE,NO,CHAR,10,YES
DIM1DESC,NO,CHAR,50,YES
DIM1ABBREV,NO,CHAR,6,YES
DIM2CODE,NO,CHAR,10,YES
DIM2DESC,NO,CHAR,50,YES
DIM2ABBREV,NO,CHAR,6,YES
DIM3CODE,NO,CHAR,10,YES
DIM3DESC,NO,CHAR,50,YES
DIM3ABBREV,NO,CHAR,6,YES
DIM4CODE,NO,CHAR,10,YES
DIM4DESC,NO,CHAR,50,YES
DIM4ABBREV,NO,CHAR,6,YES
DIM5CODE,NO,CHAR,10,YES
DIM5DESC,NO,CHAR,50,YES
DIM5ABBREV,NO,CHAR,6,YES
DIM6CODE,NO,CHAR,10,YES
DIM6DESC,NO,CHAR,50,YES
DIM6ABBREV,NO,CHAR,6,YES
DIM7CODE,NO,CHAR,10,YES
DIM7DESC,NO,CHAR,50,YES
DIM7ABBREV,NO,CHAR,6,YES
DIM8CODE,NO,CHAR,10,YES
DIM8DESC,NO,CHAR,50,YES
DIM8ABBREV,NO,CHAR,50,YES
DIM9CODE,NO,CHAR,10,YES
DIM9DESC,NO,CHAR,50,YES
DIM9ABBREV,NO,CHAR,6,YES
DIM10CODE,NO,CHAR,10,YES
DIM10DESC,NO,CHAR,50,YES
PRIXSUBI,NO,CHAR,0,YES
