Column Name,Primary Key,Type,Size,Nullable
IDSALESD,YES,CHAR,0,NO
IDSALESH,NO,CHAR,0,YES
IDARTICLES,NO,CHAR,0,YES
SDQTE,NO,CHAR,0,YES
UNITPRICEHT,NO,CHAR,0,YES
DISCBEFOREVAT,NO,CHAR,0,YES
VAT,NO,CHAR,0,YES
DISCAFTERVAT,NO,CHAR,0,YES
TOTALCOST,NO,CHAR,0,YES
UNITPRICEHTDEVISE,NO,CHAR,0,YES
DISCBEFOREVATDEVISE,NO,CHAR,0,YES
VATDEVISE,NO,CHAR,0,YES
DISCAFTERVATDEVISE,NO,CHAR,0,YES
OPTIMCLECOMP_2,NO,CHAR,1,YES
OPTIMCLECOMP_1,NO,CHAR,1,YES
ORGANIZEDELIVERY,NO,CHAR,0,YES
QTYINUOM,NO,CHAR,0,YES
UOM,NO,CHAR,10,YES
UOMUNITPRICEHT,NO,CHAR,0,YES
UOMUNITPRICEHTDEVISE,NO,CHAR,0,YES
VARIABLEQTY,NO,CHAR,0,YES
QTYRETURNED,NO,CHAR,0,YES
IDSALESDINVOICE,NO,CHAR,0,YES
OUTSIDEFIDELITYPOINTS,NO,CHAR,0,YES
OUTSIDEFIDELITYPOINTSDISC,NO,CHAR,0,YES
SERIALNO,NO,CHAR,50,YES
IDSTORES,NO,CHAR,0,YES
UNDELIVEREDQTY,NO,CHAR,0,YES
USERDELIVERED,NO,CHAR,0,YES
DATEDELIVERED,NO,CHAR,0,YES
HEUREDELIVERED,NO,CHAR,0,YES
DELIVERED,NO,CHAR,0,YES
DELIVERYDATE,NO,CHAR,0,YES
SALESDELIVERY,NO,CHAR,0,YES
IDSALESORDERD,NO,CHAR,0,YES
KIT,NO,CHAR,0,YES
IDSALESDKIT,NO,CHAR,0,YES
KITELEMENT,NO,CHAR,0,YES
IDPRICELIST,NO,CHAR,0,YES
IDPROMOTIONS,NO,CHAR,0,YES
NEEDRESTOCK,NO,CHAR,0,YES
QTYRETURNEDBEFOREDELIVERY,NO,CHAR,0,YES
IDPRODUCTONDISPLAYH,NO,CHAR,0,YES
ORGANISEINSTALLATION,NO,CHAR,0,YES
IDSALESMEN,NO,CHAR,0,YES
CLIENTDELIVERYQTY,NO,CHAR,0,NO
IDDISCOUNTREASON,NO,CHAR,0,NO
BATCHNO,NO,CHAR,50,NO
