Column Name,Primary Key,Type,Size,Nullable
IDSALESHTEMP,NO,CHAR,0,YES
IDSALESH,YES,CHAR,0,NO
HEURECREATION,NO,CHAR,0,YES
HEUREMODIF,NO,CHAR,0,YES
USERCREATION,NO,CHAR,0,YES
DATEMODIF,NO,CHAR,0,YES
DATECREATION,NO,CHAR,0,YES
USERMODIF,NO,CHAR,0,YES
SHDATE,NO,CHAR,0,YES
SHREFERENCE,NO,CHAR,20,YES
OTHERREFERENCE,NO,CHAR,20,YES
DUEDATE,NO,CHAR,0,YES
SALESTYPE,NO,CHAR,4,YES
HTAVANTDISC,NO,CHAR,0,YES
DISCAVANTTVA,NO,CHAR,0,YES
HTAPRESDISC,NO,CHAR,0,YES
VAT,NO,CHAR,0,YES
DISCAPRESTVA,NO,CHAR,0,YES
TTC,NO,CHAR,0,YES
CLIENTVATREGNO,NO,CHAR,11,YES
VATINVOICEREFERENCE,NO,CHAR,100,YES
IDSTORES,NO,CHAR,0,YES
IDMARKETCODES,NO,CHAR,0,YES
IDSALESMEN,NO,CHAR,0,YES
DELIVERTOIDCLIENTS,NO,CHAR,0,YES
IDCLIENTS,NO,CHAR,0,YES
IDTILLS,NO,CHAR,0,YES
REMARQUE,NO,CHAR,100,YES
IDTILLSSESSION,NO,CHAR,0,YES
ROOMNUMBER,NO,CHAR,15,YES
TRANSFERREFERENCE,NO,CHAR,22,YES
TRANSFERED,NO,CHAR,0,YES
EXPORTEDTOACCOUNTS,NO,CHAR,0,YES
SALHCLEUNIK,NO,CHAR,0,YES
GLHCLEUNIK,NO,CHAR,0,YES
IDSOURCECODES,NO,CHAR,0,YES
IDTAXIS,NO,CHAR,0,YES
TAXIUSER,NO,CHAR,0,YES
TAXIDATE,NO,CHAR,0,YES
TAXIHEURE,NO,CHAR,0,YES
HTAVANTDISCDEVISE,NO,CHAR,0,YES
DISCAVANTTVADEVISE,NO,CHAR,0,YES
HTAPRESDISCDEVISE,NO,CHAR,0,YES
VATDEVISE,NO,CHAR,0,YES
DISCAPRESTVADEVISE,NO,CHAR,0,YES
TTCDEVISE,NO,CHAR,0,YES
IDDEVISES,NO,CHAR,0,YES
UNITS,NO,CHAR,0,YES
TAUX,NO,CHAR,0,YES
OPTIMCLECOMP_2,NO,CHAR,1,YES
OPTIMCLECOMP_1,NO,CHAR,1,YES
IDDRIVERS,NO,CHAR,0,YES
EXPORTEDTOACCOUNTSCOS,NO,CHAR,0,YES
SALHCLEUNIKCOS,NO,CHAR,0,YES
GLHCLEUNIKCOS,NO,CHAR,0,YES
PAYMENTTERMSDESCRIPTION,NO,CHAR,50,YES
GLHCLEUNIKMULTIPAYMENT,NO,CHAR,0,YES
WAITINGFORDELIVERY,NO,CHAR,0,YES
USERDELIVERED,NO,CHAR,0,YES
DATEDELIVERED,NO,CHAR,0,YES
HEUREDELIVERED,NO,CHAR,0,YES
WAITINGFORPAYMENT,NO,CHAR,0,YES
USERPAYMENT,NO,CHAR,0,YES
DATEPAYMENT,NO,CHAR,0,YES
HEUREPAYMENT,NO,CHAR,0,YES
ORGANIZEDELIVERY,NO,CHAR,0,YES
POSINVOICEMODEL,NO,CHAR,100,YES
MLANGAGE,NO,CHAR,0,YES
TOTALFREIGHTDEVISE,NO,CHAR,0,YES
TOTALFREIGHT,NO,CHAR,0,YES
TOTALINSURANCEDEVISE,NO,CHAR,0,YES
TOTALINSURANCE,NO,CHAR,0,YES
FREIGHTDESCRIPTION,NO,CHAR,50,YES
INSURANCEDESCRIPTION,NO,CHAR,50,YES
ORDERACCPAC,NO,CHAR,0,YES
EXPORTEDTOACCPAC,NO,CHAR,0,YES
ALREADYPRINTED,NO,CHAR,0,YES
IDDUTYFREECATEGORY,NO,CHAR,0,YES
IDSALESORDERH,NO,CHAR,0,YES
SALESRETURN,NO,CHAR,0,YES
BONJPREFERENCE,NO,CHAR,20,YES
BONJPMONTANT,NO,CHAR,0,YES
IDCALENDRIERJP,NO,CHAR,0,YES
BONJPVALIDDU,NO,CHAR,0,YES
BONJPVALIDAU,NO,CHAR,0,YES
PROXIPASSMEMBERID,NO,CHAR,15,YES
DELIVERYDATE,NO,CHAR,0,YES
IDTEAMLEADER,NO,CHAR,0,YES
IDAGENT,NO,CHAR,0,YES
IDTILLSSESSIONINT,NO,CHAR,0,YES
IDPAYER,NO,CHAR,0,YES
PAYMENTCATEGORY,NO,CHAR,10,YES
IDJOBS,NO,CHAR,0,YES
JOBS,NO,CHAR,0,YES
IDSALESAVOMARK,NO,CHAR,0,YES
USESALESDELIVERYCOUNTER,NO,CHAR,0,YES
IDDELIVERYCOUNTERS,NO,CHAR,0,YES
PUSHEDTODW,NO,CHAR,0,YES
PARTDELIVERED,NO,CHAR,0,YES
DELIVERED,NO,CHAR,0,YES
NEEDRESTOCK,NO,CHAR,0,YES
INUSEBY,NO,CHAR,0,YES
IDPROXISALES,NO,CHAR,0,YES
EXPECTEDDELIVERYDATE,NO,CHAR,0,YES
ORGANISEINSTALLATION,NO,CHAR,0,YES
WAITINGFORONEWORLDPUSH,NO,CHAR,0,YES
MEMBERIDONEWORLD,NO,CHAR,20,YES
INT_FACTORING,NO,CHAR,0,YES
IDSALESRETURNREASON,NO,CHAR,0,YES
SHTREFERENCE,NO,CHAR,20,YES
TAUXTAX,NO,CHAR,0,NO
IDCREDITCARDINFO,NO,CHAR,0,NO
