Column Name,Primary Key,Type,Size,Nullable
IDZZTEMPOLAPSTOCK,YES,CHAR,0,NO
IDSTORES,NO,CHAR,0,YES
IDARTICLES,NO,CHAR,0,YES
QTYONHAND,NO,CHAR,0,YES
QTYONORDER,NO,CHAR,0,YES
QTYONPRODUCTION,NO,CHAR,0,YES
UNITCOST,NO,CHAR,0,YES
QTYISSUED,NO,CHAR,0,YES
QTYSOLD,NO,CHAR,0,YES
QTYMIN,NO,CHAR,0,YES
TOTALCOST,NO,CHAR,0,YES
CODEFOU,NO,CHAR,10,YES
FOURNISSEUR,NO,CHAR,63,YES
CODECATFOU,NO,CHAR,10,YES
CATFOU,NO,CHAR,63,YES
BILLOFENTRYDATE,NO,CHAR,0,YES
BILLOFENTRYNO,NO,CHAR,20,YES
SALESCOST,NO,CHAR,0,YES
SALESPRICE,NO,CHAR,0,YES
SALESPRICETTC,NO,CHAR,0,YES
IDDUTYFREECATEGORY,NO,CHAR,0,YES
DISPLAYONOLAPWITHSALES,NO,CHAR,0,YES
SALESPRICEDEVISE,NO,CHAR,0,YES
STOLIEUBINLOC,NO,CHAR,10,YES
REORDERLEVEL,NO,CHAR,0,YES
ARTICLESQTYRESERVED,NO,CHAR,0,YES
